DISEASES,SYMPTOMS
(vertigo) Paroymsal  Positional Vertigo,"vomiting,headache,nausea,spinning_movements,loss_of_balance,unsteadiness"
Acne,"skin_rash,pus_filled_pimples,blackheads,scurring"
AIDS,"muscles_wasting,patches_in_throat,high_fever,extra_marital_contacts"
Alcoholic hepatitis,"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload2"
Allergy,"continuous_sneezing,shevering,chill,watering_in_eyes"
Arthritis,"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking"
Bronchial Asthma,"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum"
Cervical spondylosis,"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance"
Chicken pox,"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body"
Chronic cholestasis,"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowish_of_eyes"
Common Cold,"continuous_sneezing,shevering,chill,watering,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain"
Dengue,"muscle_pain,red_spots_over_body,skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,"
Diabetes ,"obesity,excessive_hunger,increased_appetite,polyuria"
Dimorphic hemmorhoids(piles),"constipation,pain_during_bowel_movement,pain_in_anal_region,bloody_stool,irritation_in_anus"
Drug Reaction,"itching,skin_rash,stomach_pain,burning_micturition,spotting_urination"
Fungal infection,"itching,skin_rash,nodal_skin,dischromic_patches"
Gastroenteritis,"vomiting,sunken_eyes,dehydration,diarrhoea"
GERD,"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain"
Heart attack,"vomiting,breathlessness,sweating.chest_pain"
hepatitis A,"joint_pain,vomiting,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowish_of_eyes,malaise,muscle_pain"
Hepatitis B,"itching,fatigue,lethargy,yellowish_skin,dark_urine,loss_of_appetite,abdominal_pain,yellow_urine,yellowish_of_eyes,receiving_blood_transfusion,receiving_unsterile_injection"
Hepatitis C,"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowish_of_eyes"
Hepatitis D,"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowish_of_eyes"
Hepatitis E,"joint_pain,vomiting,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowish_of_eyes,acute_liver_failure,family_history,coma,stomach_bleeding"
Hypertension ,"headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration"
Hyperthyroidism,"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritatibility"
Hypoglycemia,"vomiting,fatigue,anxiety,sweating,headache,nausea,blured_and_distorted_vision,excessive_hunger,dying_and_tingling_lips,slurred_speech,irritataibility,palpitation"
Hypothyroidism,"fatigue,weight_gain,cold_hand_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritatibility,abnormal_menstruation"
Impetigo,"blister,red_sore_around_nose,yellow_crust_ooze,skin_rash,high_fever,"
Jaundice,"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain,abnormal_menstruation"
Malaria,"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain"
Migraine,"acidity,indigestion,headache,blured_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritatibility,visual_disturbance"
Osteoarthristis,"joint_pain,nech_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking"
Paralysis (brain hemorrhage),"vomiting,headache,nausea,weakness_of_one_body_side,altered_sensorium"
Peptic ulcer diseae,"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching"
Pneumonia,"chills,fatigue,cough,high_fever,breathlessness,sweating.malaise,phlegm,chest_pain,fast_heart_rate,altered_sensorium,rusty_sputum"
Psoriasis,"skin_rash,joint_ pain,skin_peeling,silver_like_dusting,small_dents_in_nails,inflammatory_nails"
Tuberculosis,"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowish_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum"
Typhoid,"fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look,belly_pain"
Urinary tract infection,"burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_smell_of_urine"
Varicose veins,"fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf"
Grand Total,
